"";"Order";"PID";"MS.SubClass";"MS.Zoning";"Lot.Frontage";"Lot.Area";"Street";"Alley";"Lot.Shape";"Land.Contour";"Utilities";"Lot.Config";"Land.Slope";"Neighborhood";"Condition.1";"Condition.2";"Bldg.Type";"House.Style";"Overall.Qual";"Overall.Cond";"Year.Built";"Year.Remod.Add";"Roof.Style";"Roof.Matl";"Exterior.1st";"Exterior.2nd";"Mas.Vnr.Type";"Mas.Vnr.Area";"Exter.Qual";"Exter.Cond";"Foundation";"Bsmt.Qual";"Bsmt.Cond";"Bsmt.Exposure";"BsmtFin.Type.1";"BsmtFin.SF.1";"BsmtFin.Type.2";"BsmtFin.SF.2";"Bsmt.Unf.SF";"Total.Bsmt.SF";"Heating";"Heating.QC";"Central.Air";"Electrical";"X1st.Flr.SF";"X2nd.Flr.SF";"Low.Qual.Fin.SF";"Gr.Liv.Area";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"Bedroom.AbvGr";"Kitchen.AbvGr";"Kitchen.Qual";"TotRms.AbvGrd";"Functional";"Fireplaces";"Fireplace.Qu";"Garage.Type";"Garage.Yr.Blt";"Garage.Finish";"Garage.Cars";"Garage.Area";"Garage.Qual";"Garage.Cond";"Paved.Drive";"Wood.Deck.SF";"Open.Porch.SF";"Enclosed.Porch";"X3Ssn.Porch";"Screen.Porch";"Pool.Area";"Pool.QC";"Fence";"Misc.Feature";"Misc.Val";"Mo.Sold";"Yr.Sold";"Sale.Type";"Sale.Condition";"SalePrice"
"2872";2872;909475020;20;"RL";NA;16381;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Crawfor";"Norm";"Norm";"1Fam";"1Story";6;5;1969;1969;"Gable";"CompShg";"Plywood";"Plywood";"BrkFace";312;"Gd";"Gd";"CBlock";"TA";"TA";"Av";"Rec";1110;"Unf";0;734;1844;"GasA";"Gd";"Y";"SBrkr";1844;0;0;1844;1;0;2;0;3;1;"Gd";7;"Typ";1;"TA";"Attchd";1969;"RFn";2;540;"TA";"TA";"Y";0;73;216;0;0;0;"NA";"NA";"NA";0;12;2006;"WD ";"Normal";223000
"716";716;902325070;75;"RM";90;8100;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"2.5Unf";5;5;1898;1965;"Hip";"CompShg";"AsbShng";"AsbShng";"None";0;"TA";"TA";"PConc";"TA";"TA";"No";"Unf";0;"Unf";0;849;849;"GasA";"TA";"N";"FuseA";1075;1063;0;2138;0;0;2;0;2;3;"TA";11;"Typ";0;"NA";"Detchd";1910;"Unf";2;360;"Fa";"Po";"N";40;156;0;0;0;0;"NA";"MnPrv";"NA";0;11;2009;"WD ";"Normal";106000
"1829";1829;532477040;60;"RL";NA;17542;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Veenker";"Norm";"Norm";"1Fam";"2Story";7;7;1974;2003;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"Gd";"TA";"CBlock";"TA";"TA";"Gd";"LwQ";125;"ALQ";1031;36;1192;"GasA";"TA";"Y";"SBrkr";1516;651;0;2167;1;0;2;1;3;1;"Gd";9;"Typ";2;"Gd";"Attchd";1974;"RFn";2;518;"TA";"TA";"Y";220;47;0;0;0;0;"NA";"MnPrv";"NA";0;7;2007;"WD ";"Normal";294000
"1023";1023;527325070;60;"RL";NA;12227;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"NWAmes";"PosN";"Norm";"1Fam";"2Story";6;7;1977;1995;"Gable";"CompShg";"HdBoard";"HdBoard";"BrkFace";424;"TA";"Gd";"CBlock";"Gd";"Gd";"No";"ALQ";896;"Unf";0;434;1330;"GasA";"TA";"Y";"SBrkr";1542;1330;0;2872;1;0;2;1;4;1;"TA";11;"Typ";1;"TA";"Attchd";1977;"Fin";2;619;"TA";"TA";"Y";550;282;0;0;0;0;"NA";"NA";"NA";0;7;2008;"WD ";"Normal";272000
"1418";1418;905480240;50;"RL";60;9084;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Edwards";"Artery";"Norm";"1Fam";"1.5Fin";5;6;1941;1950;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"TA";"TA";"CBlock";"TA";"Fa";"Mn";"LwQ";236;"Rec";380;0;616;"GasA";"TA";"N";"SBrkr";616;495;0;1111;0;1;1;0;3;1;"TA";5;"Typ";0;"NA";"Detchd";1941;"Unf";1;200;"TA";"Fa";"Y";48;0;0;0;0;0;"NA";"NA";"NA";0;3;2008;"ConLw";"Normal";95000
"2537";2537;534201300;85;"RL";70;8400;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NAmes";"Feedr";"Norm";"1Fam";"SFoyer";5;6;1968;1968;"Gable";"CompShg";"HdBoard";"HdBoard";"None";0;"TA";"TA";"CBlock";"Gd";"TA";"Gd";"GLQ";744;"Unf";0;89;833;"GasA";"Gd";"Y";"SBrkr";898;0;0;898;1;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Attchd";1968;"RFn";1;326;"TA";"TA";"Y";143;0;0;0;0;0;"NA";"NA";"NA";0;8;2006;"WD ";"Normal";140000
"2533";2533;534201230;20;"RL";80;9600;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Feedr";"Norm";"1Fam";"1Story";5;5;1968;1968;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"ALQ";758;"Unf";0;293;1051;"GasA";"Gd";"Y";"SBrkr";1051;0;0;1051;1;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Attchd";1968;"RFn";2;504;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;7;2006;"WD ";"Normal";142000
"660";660;535378120;30;"RL";60;10230;"Pave";"Grvl";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"1Story";5;7;1925;1950;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"TA";"BrkTil";"TA";"TA";"No";"Unf";0;"Unf";0;1054;1054;"GasA";"Ex";"Y";"SBrkr";1078;0;0;1078;0;0;1;0;3;1;"Ex";6;"Typ";0;"NA";"Detchd";1987;"Unf";1;264;"TA";"TA";"N";0;0;0;0;112;0;"NA";"GdWo";"NA";0;12;2009;"WD ";"Normal";125000
"2110";2110;906382060;20;"RL";73;8760;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"CollgCr";"Norm";"Norm";"1Fam";"1Story";8;5;2006;2006;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";132;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";36;"Unf";0;1453;1489;"GasA";"Ex";"Y";"SBrkr";1500;0;0;1500;0;0;2;0;3;1;"Gd";7;"Typ";1;"Gd";"Attchd";2005;"RFn";2;674;"TA";"TA";"Y";144;38;0;0;0;0;"NA";"NA";"NA";0;6;2007;"WD ";"Normal";212999
"154";154;535325400;30;"RL";65;7898;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";4;7;1920;1994;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"TA";"BrkTil";"TA";"TA";"No";"Unf";0;"Unf";0;576;576;"GasA";"Gd";"Y";"SBrkr";985;0;0;985;0;1;1;0;2;1;"TA";4;"Typ";0;"NA";"Detchd";1989;"Unf";2;676;"TA";"TA";"N";0;0;0;0;0;0;"NA";"NA";"NA";0;4;2010;"WD ";"Normal";105000
"1800";1800;528458150;60;"FV";112;12217;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Somerst";"Norm";"Norm";"1Fam";"2Story";8;5;2007;2007;"Hip";"CompShg";"WdShing";"Wd Shng";NA;NA;"Gd";"TA";"PConc";"Ex";"TA";"Av";"GLQ";745;"Unf";0;210;955;"GasA";"Ex";"Y";"SBrkr";955;925;0;1880;1;0;2;1;3;1;"Ex";8;"Typ";1;"Gd";"Attchd";2007;"Fin";3;880;"TA";"TA";"Y";168;127;0;0;0;0;"NA";"NA";"NA";0;12;2007;"New";"Partial";310013
"1020";1020;527302070;20;"RL";NA;10825;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"NWAmes";"Norm";"Norm";"1Fam";"1Story";7;7;1983;1983;"Gable";"CompShg";"WdShing";"Plywood";"BrkFace";174;"Gd";"TA";"CBlock";"Gd";"TA";"Mn";"GLQ";747;"Unf";0;513;1260;"GasA";"TA";"Y";"SBrkr";1260;0;0;1260;1;0;2;0;3;1;"TA";6;"Typ";0;"NA";"Attchd";1983;"Unf";2;598;"TA";"TA";"Y";152;0;0;0;0;0;"NA";"NA";"NA";0;7;2008;"WD ";"Normal";181900
"2690";2690;903430130;30;"RM";153;4118;"Pave";"Grvl";"IR1";"Bnk";"AllPub";"Corner";"Mod";"OldTown";"Feedr";"Norm";"1Fam";"1Story";4;4;1941;1950;"Gable";"CompShg";"Wd Sdng";"Wd Sdng";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"Unf";0;"Unf";0;693;693;"Grav";"Fa";"N";"FuseA";693;0;0;693;0;0;1;0;2;1;"Fa";4;"Typ";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"N";0;20;0;0;0;0;"NA";"NA";"NA";0;3;2006;"WD ";"Normal";52500
"2884";2884;911370430;120;"RM";41;5748;"Pave";"NA";"IR1";"HLS";"AllPub";"Inside";"Mod";"Crawfor";"Norm";"Norm";"TwnhsE";"1Story";8;5;2005;2006;"Hip";"CompShg";"CemntBd";"CmentBd";"Stone";473;"Gd";"TA";"PConc";"Ex";"TA";"Gd";"GLQ";1573;"Unf";0;0;1573;"GasA";"Ex";"Y";"SBrkr";1778;0;0;1778;2;0;2;0;2;1;"Ex";5;"Typ";1;"Gd";"Attchd";2005;"Fin";2;495;"TA";"TA";"Y";123;53;0;0;153;0;"NA";"NA";"NA";0;2;2006;"New";"Partial";375000
"212";212;904302260;190;"RL";60;9900;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"SWISU";"Norm";"Norm";"2fmCon";"1.5Fin";5;4;1915;1950;"Gable";"CompShg";"Wd Sdng";"Wd Shng";"None";0;"Fa";"Fa";"BrkTil";"TA";"TA";"No";"Rec";1026;"Unf";0;186;1212;"GasA";"TA";"N";"SBrkr";1212;180;0;1392;1;0;1;0;3;1;"TA";6;"Typ";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"N";0;0;168;0;0;0;"NA";"NA";"NA";0;2;2010;"ConLD";"Normal";100000
"2512";2512;533223010;160;"FV";35;3735;"Pave";"NA";"Reg";"Lvl";"AllPub";"FR3";"Gtl";"Somerst";"Norm";"Norm";"TwnhsE";"2Story";7;5;1999;1999;"Hip";"CompShg";"MetalSd";"MetalSd";"BrkFace";218;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";450;"Unf";0;241;691;"GasA";"Ex";"Y";"SBrkr";713;739;0;1452;1;0;2;1;3;1;"Gd";6;"Typ";0;"NA";"Detchd";1999;"Unf";2;506;"TA";"TA";"Y";0;34;0;0;0;0;"NA";"NA";"NA";0;3;2006;"WD ";"Normal";183900
"316";316;916386010;20;"RL";88;11896;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"Timber";"Norm";"Norm";"1Fam";"1Story";7;5;2008;2008;"Gable";"CompShg";"VinylSd";"VinylSd";"Stone";60;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";78;"Unf";0;1258;1336;"GasA";"Ex";"Y";"SBrkr";1346;0;0;1346;1;0;2;0;3;1;"Gd";6;"Typ";1;"TA";"Attchd";2008;"Fin";3;660;"TA";"TA";"Y";100;48;0;0;0;0;"NA";"NA";"NA";0;5;2010;"WD ";"Normal";220000
"2134";2134;907192150;60;"RL";72;11317;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"CollgCr";"Norm";"Norm";"1Fam";"2Story";7;5;2003;2003;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";101;"Gd";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;840;840;"GasA";"Ex";"Y";"SBrkr";840;828;0;1668;0;0;2;1;3;1;"Gd";8;"Typ";0;"NA";"Attchd";2003;"RFn";2;500;"TA";"TA";"Y";144;68;0;0;0;0;"NA";"NA";"NA";0;9;2007;"WD ";"Normal";180000
"415";415;527455050;160;"RL";24;2364;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NPkVill";"Norm";"Norm";"TwnhsE";"2Story";6;5;1978;1978;"Gable";"CompShg";"Plywood";"Brk Cmn";"None";0;"TA";"TA";"CBlock";"Gd";"TA";"No";"ALQ";320;"Unf";0;484;804;"GasA";"TA";"Y";"SBrkr";804;744;0;1548;0;1;2;1;3;1;"TA";7;"Typ";1;"TA";"Detchd";1978;"Unf";2;440;"TA";"TA";"Y";108;0;0;0;0;0;"NA";"NA";"NA";0;7;2009;"WD ";"Normal";147000
"536";536;531363050;20;"RL";63;7500;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"SawyerW";"Norm";"Norm";"1Fam";"1Story";6;5;2004;2004;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"TA";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;1158;1158;"GasA";"Ex";"Y";"SBrkr";1158;0;0;1158;0;0;1;1;3;1;"Gd";5;"Typ";0;"NA";"NA";NA;"NA";0;0;"NA";"NA";"Y";0;50;0;0;0;0;"NA";"NA";"NA";0;8;2009;"WD ";"Normal";143500
"613";613;534429150;80;"RL";85;11475;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"SLvl";6;6;1961;1961;"Hip";"CompShg";"HdBoard";"HdBoard";"BrkFace";90;"TA";"TA";"CBlock";"TA";"TA";"Gd";"ALQ";568;"Unf";0;640;1208;"GasA";"Ex";"Y";"SBrkr";1576;0;0;1576;1;0;1;0;4;1;"Gd";7;"Typ";1;"Po";"BuiltIn";1961;"Fin";2;368;"TA";"TA";"Y";85;0;0;0;0;0;"NA";"NA";"NA";0;9;2009;"WD ";"Normal";174500
"553";553;531477020;20;"RH";60;8400;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"SawyerW";"Feedr";"Norm";"1Fam";"1Story";4;4;1950;1950;"Gable";"CompShg";"Wd Sdng";"AsbShng";"None";0;"Fa";"Fa";"CBlock";"TA";"Fa";"No";"Unf";0;"Unf";0;721;721;"GasA";"Gd";"Y";"SBrkr";841;0;0;841;0;0;1;0;2;1;"TA";4;"Typ";0;"NA";"CarPort";1950;"Unf";1;294;"TA";"TA";"N";250;0;24;0;0;0;"NA";"NA";"NA";0;9;2009;"WD ";"Normal";82000
"538";538;531369020;20;"RL";76;10141;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"SawyerW";"Norm";"Norm";"1Fam";"1Story";8;5;2004;2004;"Gable";"Tar&Grv";"VinylSd";"VinylSd";"BrkFace";264;"Gd";"TA";"PConc";"Gd";"TA";"Gd";"BLQ";516;"Rec";774;222;1512;"GasA";"Ex";"Y";"SBrkr";1512;0;0;1512;0;0;2;0;3;1;"Gd";6;"Typ";0;"NA";"Attchd";2004;"RFn";3;845;"TA";"TA";"Y";210;36;0;0;0;0;"NA";"NA";"NA";0;1;2009;"WD ";"Normal";203000
"2186";2186;908225240;20;"RL";75;10215;"Pave";"NA";"Reg";"Bnk";"AllPub";"Inside";"Gtl";"Edwards";"Norm";"Norm";"1Fam";"1Story";4;5;1954;1954;"Hip";"CompShg";"Wd Sdng";"Wd Sdng";"BrkFace";132;"TA";"TA";"PConc";"TA";"TA";"No";"ALQ";492;"Unf";0;372;864;"GasA";"Ex";"Y";"SBrkr";948;0;0;948;0;0;1;0;3;1;"TA";5;"Typ";0;"NA";"Attchd";1954;"Unf";1;248;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;2;2007;"WD ";"Normal";111000
"527";527;528480130;60;"FV";65;8125;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Somerst";"Norm";"Norm";"1Fam";"2Story";7;5;2006;2007;"Gable";"CompShg";"CemntBd";"CmentBd";"Stone";100;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";812;"Unf";0;280;1092;"GasA";"Ex";"Y";"SBrkr";1112;438;0;1550;1;0;2;0;2;1;"Gd";7;"Typ";0;"NA";"Attchd";2007;"Fin";2;438;"TA";"TA";"Y";0;168;0;0;0;0;"NA";"NA";"NA";0;10;2009;"WD ";"Normal";241000
"1244";1244;535180100;20;"RL";75;9464;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";6;7;1958;1958;"Hip";"CompShg";"MetalSd";"MetalSd";"BrkFace";135;"TA";"Gd";"CBlock";"TA";"TA";"No";"BLQ";570;"Unf";0;510;1080;"GasA";"Gd";"Y";"SBrkr";1080;0;0;1080;0;0;1;0;3;1;"TA";5;"Typ";0;"NA";"Attchd";1958;"Unf";1;288;"TA";"TA";"Y";0;0;0;0;130;0;"NA";"NA";"NA";0;6;2008;"WD ";"Normal";136000
"629";629;535126100;20;"RL";120;13560;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";6;3;1968;1968;"Hip";"CompShg";"Wd Sdng";"Wd Sdng";"BrkFace";216;"TA";"TA";"CBlock";"Fa";"Fa";"No";"Unf";0;"Unf";0;1392;1392;"GasA";"Gd";"Y";"SBrkr";1392;0;0;1392;1;0;1;0;2;1;"TA";5;"Maj2";2;"TA";"Attchd";1968;"RFn";2;576;"TA";"TA";"Y";0;0;240;0;0;0;"NA";"NA";"NA";0;7;2009;"WD ";"Normal";110000
"1378";1378;905102170;20;"RL";70;11200;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Sawyer";"Norm";"Norm";"1Fam";"1Story";5;5;1965;1965;"Hip";"CompShg";"HdBoard";"HdBoard";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"Rec";906;"Unf";0;134;1040;"GasA";"Ex";"Y";"SBrkr";1040;0;0;1040;1;0;1;0;3;1;"TA";5;"Typ";0;"NA";"Detchd";1965;"Unf";1;384;"TA";"TA";"Y";0;0;0;0;0;0;"NA";"NA";"NA";0;2;2008;"WD ";"Normal";129500
"806";806;906223210;60;"RL";80;9828;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"SawyerW";"Norm";"Norm";"1Fam";"2Story";8;5;1995;1995;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"Gd";"TA";"PConc";"Gd";"TA";"No";"GLQ";584;"Unf";0;544;1128;"GasA";"Ex";"Y";"SBrkr";1142;878;0;2020;0;0;2;1;3;1;"Gd";8;"Typ";1;"TA";"Attchd";1995;"RFn";2;466;"TA";"TA";"Y";0;155;0;0;0;0;"NA";"NA";"NA";0;6;2009;"WD ";"Normal";239500
"1595";1595;923225150;160;"RM";NA;2665;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"MeadowV";"Norm";"Norm";"TwnhsE";"2Story";5;6;1976;1976;"Gable";"CompShg";"CemntBd";"CmentBd";"None";0;"TA";"TA";"PConc";"Gd";"TA";"Mn";"Unf";0;"Unf";0;264;264;"GasA";"TA";"Y";"SBrkr";616;688;0;1304;0;0;1;1;3;1;"TA";4;"Typ";1;"Gd";"BuiltIn";1976;"Fin";1;336;"TA";"TA";"Y";141;24;0;0;0;0;"NA";"NA";"NA";0;6;2008;"WD ";"Normal";115000
"1556";1556;911102170;70;"C (all)";50;8500;"Pave";"Pave";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"IDOTRR";"Feedr";"Norm";"1Fam";"2Story";4;4;1920;1950;"Gambrel";"CompShg";"BrkFace";"BrkFace";"None";0;"TA";"Fa";"BrkTil";"TA";"TA";"No";"Unf";0;"Unf";0;649;649;"GasA";"TA";"N";"SBrkr";649;668;0;1317;0;0;1;0;3;1;"TA";6;"Typ";0;"NA";"Detchd";1920;"Unf";1;250;"TA";"Fa";"N";0;54;172;0;0;0;"NA";"MnPrv";"NA";0;7;2008;"WD ";"Normal";40000
"395";395;527403040;20;"RL";61;7930;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NAmes";"Norm";"Norm";"1Fam";"1Story";6;8;1969;2005;"Gable";"CompShg";"Plywood";"Plywood";"None";0;"TA";"TA";"CBlock";"TA";"TA";"No";"GLQ";439;"LwQ";472;115;1026;"GasA";"Gd";"Y";"SBrkr";1026;0;0;1026;1;0;1;0;3;1;"Gd";5;"Typ";0;"NA";"Detchd";1969;"RFn";2;440;"TA";"TA";"Y";171;48;0;0;0;0;"NA";"NA";"NA";0;7;2009;"WD ";"Normal";156000
"1406";1406;905403150;20;"RL";85;10452;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Edwards";"Norm";"Norm";"1Fam";"1Story";6;5;1953;1953;"Hip";"CompShg";"Wd Sdng";"Wd Sdng";"Stone";216;"TA";"TA";"CBlock";"TA";"TA";"Mn";"Rec";500;"Unf";0;594;1094;"GasA";"Ex";"Y";"SBrkr";1094;0;0;1094;0;0;1;0;3;1;"TA";5;"Typ";2;"Gd";"Attchd";1953;"RFn";2;495;"TA";"TA";"Y";0;0;0;0;287;0;"NA";"NA";"NA";0;6;2008;"WD ";"Normal";155000
"2582";2582;535301010;90;"RL";NA;7032;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"NAmes";"Norm";"Norm";"Duplex";"SFoyer";5;5;1979;1979;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"TA";"CBlock";"Gd";"TA";"Gd";"GLQ";943;"Unf";0;0;943;"GasA";"TA";"Y";"SBrkr";943;0;0;943;1;0;1;0;2;1;"TA";4;"Typ";2;"TA";"Detchd";1979;"Unf";2;600;"TA";"TA";"Y";42;0;0;0;0;0;"NA";"NA";"NA";0;12;2006;"WD ";"Normal";135960
"1752";1752;528250010;80;"RL";NA;11950;"Pave";"NA";"IR1";"Lvl";"AllPub";"Corner";"Gtl";"Gilbert";"Norm";"Norm";"1Fam";"SLvl";7;5;2003;2003;"Gable";"CompShg";"VinylSd";"VinylSd";NA;NA;"Gd";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;384;384;"GasA";"Ex";"Y";"SBrkr";754;640;0;1394;0;0;2;1;3;1;"Gd";7;"Typ";1;"TA";"BuiltIn";2003;"Fin";2;400;"TA";"TA";"Y";100;0;0;0;0;0;"NA";"NA";"NA";0;10;2007;"WD ";"Normal";165500
"1198";1198;534250010;90;"RL";87;9246;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"NWAmes";"Feedr";"Norm";"Duplex";"1Story";5;5;1973;1973;"Gable";"CompShg";"Plywood";"Plywood";"BrkFace";564;"TA";"TA";"CBlock";"TA";"TA";"No";"Unf";0;"Unf";0;1656;1656;"GasA";"TA";"Y";"SBrkr";1656;0;0;1656;0;0;2;0;4;2;"TA";8;"Typ";0;"NA";"Detchd";1973;"Unf";2;506;"TA";"TA";"Y";0;211;0;0;0;0;"NA";"NA";"NA";0;11;2008;"WD ";"Normal";135000
"2600";2600;535377100;50;"RL";60;7008;"Pave";"NA";"Reg";"Lvl";"AllPub";"Corner";"Gtl";"OldTown";"Norm";"Norm";"1Fam";"1.5Fin";4;8;1900;1998;"Gable";"CompShg";"MetalSd";"MetalSd";"None";0;"TA";"Gd";"BrkTil";"Fa";"Fa";"No";"Unf";0;"Unf";0;448;448;"GasA";"Ex";"Y";"SBrkr";448;272;0;720;0;0;1;0;1;1;"Fa";5;"Typ";0;"NA";"Attchd";1900;"Unf";1;280;"Fa";"TA";"Y";0;0;70;0;0;0;"NA";"NA";"NA";0;3;2006;"WD ";"Normal";86900
"2179";2179;908152280;20;"RL";60;7024;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Edwards";"Norm";"Norm";"1Fam";"1Story";5;5;2005;2006;"Gable";"CompShg";"VinylSd";"VinylSd";"None";0;"TA";"TA";"PConc";"Ex";"Gd";"No";"ALQ";980;"Unf";0;110;1090;"GasA";"Gd";"Y";"SBrkr";1090;0;0;1090;1;0;1;1;2;1;"TA";5;"Typ";0;"NA";"Attchd";2005;"Fin";2;450;"TA";"TA";"Y";0;49;0;0;0;0;"NA";"NA";"NA";0;6;2007;"WD ";"Normal";157000
"1083";1083;528228445;120;"RL";43;3182;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Blmngtn";"Norm";"Norm";"TwnhsE";"1Story";7;5;2005;2006;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";14;"Gd";"TA";"PConc";"Gd";"Gd";"No";"GLQ";16;"Unf";0;1330;1346;"GasA";"Ex";"Y";"SBrkr";1504;0;0;1504;0;0;2;0;2;1;"Gd";7;"Typ";1;"Gd";"Attchd";2005;"Fin";2;437;"TA";"TA";"Y";156;20;0;0;0;0;"NA";"NA";"NA";0;5;2008;"WD ";"Normal";191000
"478";478;528240030;60;"RL";62;7984;"Pave";"NA";"IR1";"Lvl";"AllPub";"Inside";"Gtl";"Gilbert";"Norm";"Norm";"1Fam";"2Story";7;5;2004;2005;"Gable";"CompShg";"VinylSd";"VinylSd";"BrkFace";200;"Gd";"TA";"PConc";"Gd";"TA";"No";"Unf";0;"Unf";0;868;868;"GasA";"Ex";"Y";"SBrkr";868;762;0;1630;0;0;2;1;3;1;"Gd";7;"Typ";1;"Gd";"BuiltIn";2004;"Fin";2;436;"TA";"TA";"Y";120;48;0;0;0;0;"NA";"NA";"NA";0;9;2009;"WD ";"Normal";189500
"2429";2429;528228575;120;"RL";53;3982;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"Blmngtn";"Norm";"Norm";"TwnhsE";"1Story";8;5;2006;2006;"Hip";"CompShg";"VinylSd";"VinylSd";"None";0;"Gd";"TA";"PConc";"Gd";"Gd";"Av";"GLQ";1154;"Unf";0;366;1520;"GasA";"Ex";"Y";"SBrkr";1567;0;0;1567;1;0;2;0;1;1;"Ex";7;"Typ";1;"Gd";"Attchd";2006;"Fin";3;648;"TA";"TA";"Y";312;0;0;0;0;0;"NA";"NA";"NA";0;10;2006;"New";"Partial";264561
"422";422;528102140;60;"RL";110;14257;"Pave";"NA";"Reg";"Lvl";"AllPub";"Inside";"Gtl";"NridgHt";"PosN";"Norm";"1Fam";"2Story";9;5;2007;2007;"Hip";"CompShg";"VinylSd";"VinylSd";"Stone";726;"Ex";"TA";"PConc";"Ex";"TA";"No";"GLQ";1360;"Unf";0;416;1776;"GasA";"Ex";"Y";"SBrkr";1794;978;0;2772;1;0;3;1;4;1;"Ex";10;"Typ";3;"Gd";"BuiltIn";2007;"Fin";3;754;"TA";"TA";"Y";135;64;0;0;0;0;"NA";"NA";"NA";0;6;2009;"WD ";"Normal";462000
